Lifter Name,Age,Weight Class,Lift Type,Amount Lifted (kg)
Jessica Wilson,46,59 kg,Bench Press,269
John Doe,60,83 kg,Bench Press,179
Emily Davis,41,105 kg,Bench Press,235
Emily Davis,33,66 kg,Squat,359
Laura Taylor,56,74 kg,Deadlift,221
Sarah Thomas,56,74 kg,Squat,264
Emily Davis,40,83 kg,Deadlift,132
Jessica Wilson,25,120 kg,Bench Press,178
Michael Johnson,55,93 kg,Squat,265
Chris Brown,20,66 kg,Bench Press,239
Laura Taylor,31,52 kg,Deadlift,328
Daniel Lee,38,52 kg,Deadlift,347
Matthew Anderson,64,74 kg,Bench Press,398
Matthew Anderson,47,120 kg,Bench Press,396
Jane Smith,50,74 kg,Bench Press,111
Daniel Lee,37,59 kg,Deadlift,133
Laura Taylor,62,74 kg,Deadlift,396
Laura Taylor,62,105 kg,Deadlift,273
Matthew Anderson,40,120 kg,Bench Press,120
Jane Smith,40,83 kg,Deadlift,245
Jessica Wilson,62,66 kg,Squat,107
Sarah Thomas,55,52 kg,Squat,169
Matthew Anderson,52,66 kg,Bench Press,275
Sarah Thomas,56,59 kg,Squat,391
Chris Brown,39,52 kg,Deadlift,210
Emily Davis,46,105 kg,Squat,271
John Doe,52,74 kg,Deadlift,136
Emily Davis,19,74 kg,Bench Press,254
Jessica Wilson,63,105 kg,Bench Press,105
John Doe,64,105 kg,Squat,263
Michael Johnson,35,93 kg,Bench Press,217
Emily Davis,52,74 kg,Bench Press,310
Matthew Anderson,61,83 kg,Squat,252
Jane Smith,31,52 kg,Squat,120
Emily Davis,35,Open,Squat,376
Emily Davis,49,52 kg,Bench Press,376
Emily Davis,39,59 kg,Deadlift,193
Laura Taylor,52,83 kg,Deadlift,217
John Doe,63,52 kg,Deadlift,284
Jane Smith,19,83 kg,Bench Press,164
Sarah Thomas,23,83 kg,Squat,275
Sarah Thomas,56,66 kg,Squat,174
John Doe,49,Open,Deadlift,217
Chris Brown,46,66 kg,Bench Press,346
Laura Taylor,56,59 kg,Squat,383
Emily Davis,22,93 kg,Bench Press,314
Michael Johnson,55,120 kg,Squat,397
Laura Taylor,25,93 kg,Deadlift,278
Michael Johnson,21,83 kg,Bench Press,363
John Doe,39,105 kg,Deadlift,300
John Doe,39,93 kg,Deadlift,337
Chris Brown,44,74 kg,Squat,132
Jessica Wilson,20,Open,Squat,133
Jessica Wilson,46,120 kg,Bench Press,314
Daniel Lee,50,52 kg,Deadlift,125
Matthew Anderson,55,93 kg,Squat,188
Chris Brown,51,Open,Squat,226
Jane Smith,53,105 kg,Squat,183
Chris Brown,50,105 kg,Deadlift,124
Sarah Thomas,57,93 kg,Bench Press,227
Matthew Anderson,35,120 kg,Squat,131
Jane Smith,27,59 kg,Squat,290
Jane Smith,53,52 kg,Deadlift,205
Laura Taylor,62,52 kg,Squat,218
Sarah Thomas,40,66 kg,Deadlift,276
Sarah Thomas,23,93 kg,Bench Press,208
Emily Davis,40,Open,Deadlift,365
Daniel Lee,27,52 kg,Deadlift,227
Laura Taylor,19,105 kg,Deadlift,153
Michael Johnson,61,74 kg,Squat,273
John Doe,23,120 kg,Deadlift,380
Emily Davis,60,93 kg,Squat,394
Jessica Wilson,22,52 kg,Deadlift,347
Sarah Thomas,25,74 kg,Squat,135
Chris Brown,37,120 kg,Squat,169
Chris Brown,56,83 kg,Squat,327
Daniel Lee,31,105 kg,Deadlift,169
Chris Brown,29,Open,Deadlift,381
Chris Brown,41,66 kg,Squat,115
Emily Davis,56,59 kg,Squat,357
Chris Brown,29,66 kg,Deadlift,354
Chris Brown,58,Open,Squat,282
Matthew Anderson,49,74 kg,Bench Press,389
Chris Brown,21,105 kg,Deadlift,299
Emily Davis,20,59 kg,Squat,146
Laura Taylor,25,120 kg,Deadlift,190
Jessica Wilson,20,74 kg,Deadlift,284
Jessica Wilson,43,52 kg,Bench Press,190
John Doe,64,93 kg,Bench Press,265
Jane Smith,23,Open,Deadlift,253
Jessica Wilson,34,120 kg,Bench Press,324
Sarah Thomas,26,93 kg,Bench Press,232
Emily Davis,35,105 kg,Squat,164
John Doe,46,Open,Bench Press,124
Jessica Wilson,32,74 kg,Bench Press,106
John Doe,24,105 kg,Bench Press,232
Jane Smith,31,52 kg,Deadlift,207
Michael Johnson,46,93 kg,Squat,215
Chris Brown,21,59 kg,Bench Press,277
Michael Johnson,62,74 kg,Squat,197
John Doe,56,52 kg,Bench Press,167
Emily Davis,22,74 kg,Squat,242
Michael Johnson,18,66 kg,Deadlift,206
John Doe,29,59 kg,Bench Press,180
Laura Taylor,56,59 kg,Deadlift,103
Jessica Wilson,24,59 kg,Bench Press,346
Sarah Thomas,38,120 kg,Squat,169
John Doe,24,Open,Squat,104
Michael Johnson,34,83 kg,Deadlift,215
Laura Taylor,18,66 kg,Bench Press,128
Michael Johnson,21,74 kg,Squat,101
Sarah Thomas,23,Open,Deadlift,330
Michael Johnson,57,120 kg,Deadlift,204
Emily Davis,34,59 kg,Bench Press,328
Emily Davis,43,Open,Bench Press,288
Michael Johnson,48,105 kg,Deadlift,170
Emily Davis,45,Open,Squat,187
Chris Brown,29,52 kg,Bench Press,344
Jane Smith,58,74 kg,Squat,192
Michael Johnson,18,59 kg,Deadlift,207
Sarah Thomas,51,59 kg,Squat,119
Jane Smith,43,59 kg,Deadlift,396
Chris Brown,32,66 kg,Squat,203
Daniel Lee,52,66 kg,Bench Press,346
Matthew Anderson,58,83 kg,Deadlift,190
Michael Johnson,61,66 kg,Bench Press,338
Emily Davis,56,120 kg,Deadlift,377
John Doe,37,83 kg,Deadlift,178
John Doe,60,52 kg,Squat,343
Daniel Lee,52,120 kg,Squat,219
John Doe,56,120 kg,Bench Press,240
Daniel Lee,39,83 kg,Deadlift,304
Emily Davis,38,59 kg,Deadlift,256
Emily Davis,44,105 kg,Bench Press,146
Matthew Anderson,53,Open,Squat,262
Matthew Anderson,45,52 kg,Bench Press,303
Matthew Anderson,21,83 kg,Deadlift,372
Michael Johnson,43,93 kg,Deadlift,397
Emily Davis,25,Open,Deadlift,139
Michael Johnson,22,105 kg,Bench Press,185
John Doe,22,52 kg,Deadlift,339
Matthew Anderson,27,52 kg,Bench Press,157
Matthew Anderson,22,120 kg,Bench Press,241
Emily Davis,51,59 kg,Deadlift,385
Matthew Anderson,28,52 kg,Squat,264
Michael Johnson,41,93 kg,Bench Press,125
Matthew Anderson,50,Open,Deadlift,370
Chris Brown,31,59 kg,Bench Press,106
Emily Davis,39,83 kg,Deadlift,195
John Doe,46,59 kg,Squat,396
Chris Brown,41,Open,Squat,317
Emily Davis,23,52 kg,Bench Press,211
Daniel Lee,20,66 kg,Deadlift,132
Sarah Thomas,18,Open,Bench Press,261
Matthew Anderson,27,83 kg,Bench Press,381
John Doe,25,52 kg,Squat,177
Matthew Anderson,47,120 kg,Squat,302
Jessica Wilson,39,120 kg,Bench Press,124
Sarah Thomas,34,74 kg,Bench Press,262
John Doe,32,105 kg,Deadlift,331
Sarah Thomas,37,59 kg,Deadlift,283
Daniel Lee,55,Open,Squat,352
Jessica Wilson,44,83 kg,Deadlift,386
Emily Davis,30,93 kg,Bench Press,344
Jane Smith,33,74 kg,Deadlift,338
Matthew Anderson,37,59 kg,Squat,328
John Doe,36,Open,Deadlift,287
Chris Brown,60,93 kg,Deadlift,228
Sarah Thomas,20,120 kg,Bench Press,244
Daniel Lee,34,83 kg,Deadlift,170
Jessica Wilson,29,74 kg,Deadlift,124
Laura Taylor,53,120 kg,Bench Press,199
Matthew Anderson,27,83 kg,Deadlift,387
Matthew Anderson,27,83 kg,Squat,311
Sarah Thomas,48,52 kg,Deadlift,198
Michael Johnson,40,120 kg,Squat,171
Matthew Anderson,60,93 kg,Bench Press,230
Daniel Lee,38,74 kg,Squat,393
Daniel Lee,59,59 kg,Squat,200
Sarah Thomas,37,66 kg,Squat,172
Jane Smith,22,120 kg,Deadlift,218
Daniel Lee,64,52 kg,Bench Press,308
Matthew Anderson,33,83 kg,Deadlift,262
Matthew Anderson,51,93 kg,Deadlift,366
Emily Davis,18,83 kg,Deadlift,183
Michael Johnson,33,66 kg,Squat,258
Emily Davis,31,66 kg,Bench Press,171
Daniel Lee,27,66 kg,Deadlift,103
Emily Davis,60,59 kg,Bench Press,300
Daniel Lee,28,120 kg,Bench Press,103
Jessica Wilson,57,59 kg,Squat,222
Laura Taylor,52,120 kg,Deadlift,124
John Doe,57,120 kg,Bench Press,291
Matthew Anderson,62,74 kg,Deadlift,387
Chris Brown,62,59 kg,Deadlift,223
Daniel Lee,60,120 kg,Deadlift,130
